,ID,Name,Latitude,Longitude,Cuisine,Ratings,Reviews,Price_Rng,Zip-Code
46,DTALvZKBJH8XVAKfcQseYQ,5Church Midtown,33.787526,-84.383007,American (New),4,1076,$$,30361
47,WkN8Z2Q8gbhjjkCt8cDVxg,Two Urban Licks,33.76845557,-84.3612739,Bars,4,3042,$$,30306
48,ApwmEiStq9aP9-Tf2xfVtA,Gus's World Famous Fried Chicken,33.760069,-84.386257,Southern,4,1473,$$,30303
49,L1nn5Cge3wBUHydmX8XwWA,E Ramen +,33.78504,-84.38825,Ramen,4.5,300,$$,30309
50,S9NvWyHUPsuYK7ObMV43pA,Desta Ethiopian Kitchen,33.83789545,-84.31039135,Ethiopian,4.5,1938,$$,30329
51,kzXrQKJpN2JyLd68iwH3hg,Little Bangkok,33.81593,-84.35219,Chinese,4,807,$$,30324
52,GHjH_Mt4EZzld-V6QtjeOg,Hungry Ghost,33.75414,-84.37639,American (New),3.5,155,$$,30312
53,68nSwC4eAUI47b8Hz4Jo5w,Fireside Jamaican Restaurant,33.681746,-84.308017,Caribbean,4,76,$,30316
54,2qqzP3AiKuz3Fn3ao1_onA,Louisiana Bistreaux - East Point,33.6592449,-84.4342218,Cajun/Creole,4.5,1899,$$,30344
55,uIAos8ANK0KDY5Vpy5EHCA,Rock Steady - Atlanta,33.77722,-84.40768,Caribbean,4,315,$$,30318
56,bAybZImsqUwinMrzZlzVIQ,True Food Kitchen,33.847652,-84.363745,Vegan,4,1386,$$,30326
57,-ncunpZ1SM-VF3plXoiyjw,Man vs Fries,33.77004,-84.38382,Food Delivery Services,3.5,73,$$,30308
58,cgONshBaun3xCVyrT_bSIw,Roc South Cuisine,33.83534,-84.33755,Southern,4.5,469,$$,30329
59,_F7t1ie5c299zxVJwwsd3g,Delbar Middle Eastern,33.761615,-84.3602065,Persian/Iranian,4.5,394,$$$,30307
60,7CvyE0cLTzEzivSEdDAbMQ,Milk & Honey Restaurant,33.732091,-84.567526,Breakfast & Brunch,4,1090,$$,30311
61,a5akxlhWpAF4OiQcAPZTnw,Home Grown,33.746686,-84.35588,Southern,4.5,1468,$$,30316
62,j29QN76xXH2-pwBJ_U9Dyg,WEI Authentic Chinese,34.07054178,-83.9852973,Cantonese,4.5,152,$$,30519
63,lgKQzvvuNWJgkayiNiE7Hg,Food Terminal - Sandy Springs,33.9335355,-84.3645249,Malaysian,5,35,$$,30328
64,gMSCtM6SCUF-bp3Ypw8Jxg,South City Kitchen Buckhead,33.8481447,-84.3687447,Southern,4.5,854,$$,30326
65,lL0fuGEdXnAXDqi-Jra-yQ,Yo! Chef What's Cooking?,33.858796,-84.309113,Breakfast & Brunch,4,101,$$,30345
66,dfL1KYHtcs6YaFVx-nZTdQ,Whiskey Bird,33.792656,-84.351852,American (New),4.5,485,$$,30306
67,_IFMCrheTi12RqiR7jvJUg,Little Rey,33.80799167,-84.36634667,Tex-Mex,4,356,$,30324
68,0ukhgBeLATOo8b8lDobRGg,Roasters,33.831112,-84.356599,Southern,4,410,$$,30324
69,opGvvF6iQ_Ms5xO_MxnuUQ,The Po'Boy Shop,33.792737,-84.3050283,Cajun/Creole,4.5,392,$$,30033
70,AvXqLbcGCxdIEF_qZTY0Kw,The Busy Bee Cafe,33.75443256,-84.41402169,Soul Food,4,1032,$$,30314
71,bP6goJODwRnM3AVy45Kn9w,Papi's Cuban & Caribbean Grill,33.772758,-84.380375,Cuban,4,1073,$$,30308
72,AszaS93c_T0ryoSAOoFCUA,Loaded Potato Bar,33.866053,-84.466394,American (Traditional),4,52,$$,30339
73,jrk6pBeLhBVaO1fE4oOo8A,Hai,33.792031,-84.286616,Chinese,4,260,$$,30033
74,t_ybXkC1dG3jQkfnusyoNQ,ApacheXLR,33.763731,-84.397086,Breakfast & Brunch,4,236,$$,30313
75,DOXZJ6VPkN602O1ccyCnuA,Sugar Shanes,33.78593369,-84.40018449,Caterers,5,83,$$,30318
76,htPUyMGClWqJFrSxg-a0_Q,Halsa,33.51273159,-84.73535511,Scandinavian,4,34,$$,30268
77,VGHMNIccTuq_xBrHmxkoCQ,Bao Bun Hibachi,33.80124532,-84.41344091,Asian Fusion,4.5,125,$$,30318
78,U4K4dCTtGeNNPUtDaC3HHg,Wheelhouse Craft Pub And Kitchen,33.792788,-84.290715,Pubs,4.5,93,$$,30030
79,3D3t6TODQDyRUB3jUadiGA,Velvet Taco,33.78527,-84.41149,American (New),4.5,120,$$,30318
80,ucOkHxBKAJJioYn7E83L2w,The Wing Bar,33.74073792,-84.34554291,Chicken Wings,4,172,$$,30316
81,A9IAWSzO-RWaSSOeiYXUCg,There on Fifth,33.77657,-84.3879702,Burgers,4.5,78,$$,30308
82,IOLwhRIF2wyhbTJl_J2khw,Breakfast At Barneys,33.74969717,-84.37897677,Breakfast & Brunch,4,1112,$$,30312
83,nJ2OawyoI-ZBLMsWOv1XQQ,Le Petit MarchÇ,33.75145585,-84.32247862,Breakfast & Brunch,4.5,1304,$$,30317
84,9XUI9R55hL5Jb8IVeArs5g,Masti fun Indian Street Food,33.81457921,-84.31063476,Indian,4,540,$$,30329
85,QkbH0ZEchPRM40C7eS4L5w,Ok Yaki,33.73475,-84.34889,Teppanyaki,4.5,57,$$,30316
86,jbKI2uM4nrRIlBT2sMX3MQ,Grindhouse Killer Burgers,33.8061245,-84.36741,Burgers,4,1115,$$,30324
87,fGcb71-JEWUhasyc9vUxuw,Mediterranean Grill,33.78137,-84.36835,Greek,4,337,$,30308
88,Z6a-a9OihhTxVfon5jMP5w,Bun Mi Vietnamese Grill,33.78780585,-84.3821312,Vietnamese,4.5,159,$$,30309
89,uFheloAGwSlXUks6pKoCeA,Slappingtacosatl,33.71646,-84.40819,Tacos,3.5,29,$$,30310
