id,Name,Cuisine,Ratings,Reviews,Price_Rng,Zip-Code,State,City,NumberReturns,AdjustedGross Income,IncomeperReturn,SalaryperReturn,TaxPaidperReturn,MTW Status
419,Candytopia,Candy Stores,4,214,2,30305,GEORGIA,Atlanta,"14,265","1,992,461","$139,675 ","$103,339 ","$42,238 ",Matching
62,WEI Authentic Chinese,Cantonese,4.5,152,2,30519,GEORGIA,Buford,"6,401","344,706","$53,852 ","$47,776 ","$8,469 ",Matching
404,The SOS Tiki Bar,Caribbean,4,194,2,30030,GEORGIA,Decatur,"12,299","530,683","$43,148 ","$37,815 ","$7,733 ",Matching
131,Mangos Caribbean Restaurant,Caribbean,3,566,2,30303,GEORGIA,Atlanta,"1,746","80,603","$46,164 ","$42,587 ","$33,834 ",Matching
420,Irie Mon Cafe,Caribbean,4,123,2,30309,GEORGIA,Atlanta,"10,405","932,807","$89,650 ","$58,739 ","$21,141 ",Matching
92,SpiceHouse Buckhead,Caribbean,3.5,53,2,30324,GEORGIA,Atlanta,"10,983","604,700","$55,058 ","$46,404 ","$11,365 ",Matching
234,Scotchie's,Caribbean,4.5,56,2,30328,GEORGIA,Atlanta,"15,342","1,515,043","$98,751 ","$67,212 ","$23,526 ",Matching
677,Big Dave's Cheesesteaks,Cheesesteaks,3.5,334,2,30303,GEORGIA,Atlanta,"1,746","80,603","$46,164 ","$42,587 ","$33,834 ",Matching
20,Woody's CheeseSteaks,Cheesesteaks,4,80,2,30305,GEORGIA,Atlanta,"14,265","1,992,461","$139,675 ","$103,339 ","$42,238 ",Matching
168,Philly Cheesesteak Place,Cheesesteaks,3,62,1,30324,GEORGIA,Atlanta,"10,983","604,700","$55,058 ","$46,404 ","$11,365 ",Matching
703,Gus's World Famous Fried Chicken,Chicken Shop,4,461,2,30328,GEORGIA,Atlanta,"15,342","1,515,043","$98,751 ","$67,212 ","$23,526 ",Matching
273,Bonchon Fayetteville,Chicken Wings,4,225,2,30214,GEORGIA,Fayetteville,"11,485","614,616","$53,515 ","$46,849 ","$9,370 ",Matching
298,The Wing Shack ATL,Chicken Wings,2,77,2,30303,GEORGIA,Atlanta,"1,746","80,603","$46,164 ","$42,587 ","$33,834 ",Matching
